_id,리뷰수,사업체,이미지,전화번호,조회수,지역이름,추천수,캠핑장설명,캠핑장이름,캠핑장정보
1,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/100464/thumb/thumb_720_33104csvDChBO86DeGMGo0kw.jpeg"" height=""180"" width=""280"">",010-3533-5292,264,충남 당진시 고대면 탕주막길 116-11 ,0,캠핑장정보 더보기 드넓은 독채 마당이 있는 애견동반 글램핑장 / 매점을 제외한 모든 시설은 개별시설 / 모든 애완동물 입장 가능,[충청남도 당진시] 도그팰리스 애견동반글램핑,"

전기
와이파이
장작판매
온수
물놀이장

"
2,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/100540/thumb/thumb_720_4625jAUhisUxXpkG5lcRxHxi.jpg"" height=""180"" width=""280"">",010-9229-7393,19,경기 가평군 조종면 대보간선로 260 ,0,캠핑장정보 더보기 안녕하세요 캠핑사이다 가평은빛물결점입니다. 고즈넉 은빛 물결을 바라보며 즐기는 힐링캠프 하늘을 뒤덮은 나무그늘 아래에...,[경기도 가평군] 캠핑사이다 가평 은빝물결점,"

전기
장작판매
온수
트렘폴린
물놀이장
마트.편의점

"
3,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/831/thumb/thumb_720_0962q0XYcGGrTUl5Q9pI55P3.jpg"" height=""180"" width=""280"">",None,19087,경기도 포천시 이동면 화동로 2318-6  도마치캠핑장 ,1,"캠핑장정보 더보기 도마치캠핑장은 포천 도마치 계곡 옆에 있는 캠핑장으로 민박과 겸업하고 있다. 민박은 선풍기, 침구류, 냉장고, 실외 ...",[경기도 포천시] 도마치캠핑장 ,"

전기
와이파이
장작판매
온수
트렘폴린
운동시설

"
4,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",010-3540-0470,9470,경상북도 영주시 부석면 영부로 871  ,0,캠핑장정보 더보기 ,[경상북도 영주시] 주막거리캠프,"

전기
온수
운동시설

"
5,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/7055/thumb/thumb_720_58687SqRNyx1ZsC1M2yIQcTQ.jpg"" height=""180"" width=""280"">",010-7923-4498,13535,강원 영월군 무릉도원면 무릉법흥로 1104 ,1,캠핑장정보 더보기 ,[강원도 영월군] 영월지구별캠프,"

전기
와이파이
장작판매
온수
물놀이장
운동시설

"
6,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/100218/thumb/thumb_720_8553iOCJM4HG1xS54HkAaUZJ.jpg"" height=""180"" width=""280"">",010-2591-8859,1439,경북 김천시 부항면 대야길 307 ,0,캠핑장정보 더보기 탁트인 뷰와 더불어 맑은 계곡이 있는 오토캠핑장입니다. 산과 냇가가 있는 공간에서 편리한 야영과 캠핑이 가능합니다.,[경상북도 김천시] 김천맑은계곡 오토캠핑장,"

전기
장작판매
온수
마트.편의점

"
7,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/100073/thumb/thumb_720_3754yBDJElWAuf1Vg0YBzGud.jpg"" height=""180"" width=""280"">",None,5124,충북 충주시 동량면 미라실로 603 카이로스 오토야영장,2,캠핑장정보 더보기 산으로 둘러싸인 카이로스는 충주호 전망과 쏟아지는 별이 아름다운 2인 전용 오토캠핑장입니다. 예약은 네이버에 카이로스...,[충청북도 충주시] 카이로스오토야영장,"

전기
장작판매
온수
산책로

"
8,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/7170/thumb/thumb_720_6717mbxAwcY5zYQBFw1XQNSu.jpg"" height=""180"" width=""280"">",061-275-3692,29854,전남 신안군 증도면 지도증도로 1797-1 ,3,"캠핑장정보 더보기 신안우전설레미캠핑장은 증도 슬로시티의 해송숲내에 위치하고 있다. 농어촌공사와 지자체가 공동투자해 만들어진 곳이며 3,...",[전라남도 신안군] 신안우전설레미캠핑장 ,"

전기
와이파이
장작판매
온수
놀이터
운동장

"
9,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/upload/camp/7939/thumb/thumb_720_3360n9euE9BAIdvdfA71cLpx.jpg"" height=""180"" width=""280"">",None,8653,충남 태안군 남면 진산1길 277-112 ,1,캠핑장정보 더보기 ,[충청남도 태안군] 도담오토캠핑장,"

전기
와이파이
장작판매
온수
물놀이장
운동시설
마트.편의점

"
10,0,관광사업자 등록업체,"<img src=""https://www.gocamping.or.kr/img/2018/layout/noimg.jpg"" height=""180"" width=""280"">",None,125,전북 진안군 주천면 삼거길 13 ,1,캠핑장정보 더보기 ,[전라북도 진안군] 운일암개미캠핑장,None
